
Epoch: 139/200 | Batch 402/402 | Batch time 0.059 || Loss: 4.774981 | loc loss:3.756000 | class loss:1.018981
Epoch: 140/200 | Batch 402/402 | Batch time 0.081 || Loss: 4.742699 | loc loss:3.716750 | class loss:1.025949
Epoch: 141/200 | Batch 402/402 | Batch time 0.056 || Loss: 5.234961 | loc loss:4.091615 | class loss:1.143346
Epoch: 142/200 | Batch 402/402 | Batch time 0.057 || Loss: 5.465774 | loc loss:4.254066 | class loss:1.211707
Epoch: 143/200 | Batch 402/402 | Batch time 0.082 || Loss: 5.091562 | loc loss:4.031337 | class loss:1.060225
Epoch: 144/200 | Batch 402/402 | Batch time 0.079 || Loss: 4.393791 | loc loss:3.478005 | class loss:0.915785
Epoch: 145/200 | Batch 402/402 | Batch time 0.078 || Loss: 5.451721 | loc loss:4.429265 | class loss:1.022456
Epoch: 146/200 | Batch 402/402 | Batch time 0.046 || Loss: 5.926939 | loc loss:4.905902 | class loss:1.021037
Epoch: 147/200 | Batch 402/402 | Batch time 0.063 || Loss: 5.091497 | loc loss:3.913488 | class loss:1.178010
Epoch: 148/200 | Batch 402/402 | Batch time 0.080 || Loss: 4.454246 | loc loss:3.623516 | class loss:0.830730
Epoch: 149/200 | Batch 402/402 | Batch time 0.080 || Loss: 5.539044 | loc loss:4.389754 | class loss:1.149290
Epoch: 150/200 | Batch 402/402 | Batch time 0.078 || Loss: 3.917161 | loc loss:2.897109 | class loss:1.020052
Epoch: 151/200 | Batch 402/402 | Batch time 0.047 || Loss: 5.059003 | loc loss:4.006329 | class loss:1.052674
Epoch: 152/200 | Batch 402/402 | Batch time 0.081 || Loss: 7.116995 | loc loss:5.835979 | class loss:1.281016
Epoch: 153/200 | Batch 402/402 | Batch time 0.068 || Loss: 6.491330 | loc loss:5.396474 | class loss:1.094856
Epoch: 154/200 | Batch 402/402 | Batch time 0.083 || Loss: 3.649108 | loc loss:2.669940 | class loss:0.979168
Epoch: 155/200 | Batch 402/402 | Batch time 0.081 || Loss: 4.752540 | loc loss:3.763861 | class loss:0.988679
Epoch: 156/200 | Batch 402/402 | Batch time 0.083 || Loss: 3.721492 | loc loss:2.813286 | class loss:0.908206
Epoch: 157/200 | Batch 402/402 | Batch time 0.060 || Loss: 5.042802 | loc loss:3.874411 | class loss:1.168391
Epoch: 158/200 | Batch 402/402 | Batch time 0.080 || Loss: 4.075794 | loc loss:3.155032 | class loss:0.920761
Epoch: 159/200 | Batch 402/402 | Batch time 0.093 || Loss: 5.158443 | loc loss:4.262691 | class loss:0.895752
Epoch: 160/200 | Batch 402/402 | Batch time 0.079 || Loss: 6.044764 | loc loss:5.001790 | class loss:1.042974
Epoch: 161/200 | Batch 402/402 | Batch time 0.072 || Loss: 5.602302 | loc loss:4.544378 | class loss:1.057923
Epoch: 162/200 | Batch 402/402 | Batch time 0.062 || Loss: 5.961411 | loc loss:4.891484 | class loss:1.069927
Epoch: 163/200 | Batch 402/402 | Batch time 0.085 || Loss: 4.985720 | loc loss:3.850140 | class loss:1.135580
Epoch: 164/200 | Batch 402/402 | Batch time 0.058 || Loss: 4.342914 | loc loss:3.392764 | class loss:0.950150
Epoch: 165/200 | Batch 402/402 | Batch time 0.083 || Loss: 5.793777 | loc loss:4.520929 | class loss:1.272848
Epoch: 166/200 | Batch 402/402 | Batch time 0.057 || Loss: 5.493484 | loc loss:4.338912 | class loss:1.154571
Epoch: 167/200 | Batch 402/402 | Batch time 0.079 || Loss: 3.803203 | loc loss:2.968868 | class loss:0.834335
Epoch: 168/200 | Batch 402/402 | Batch time 0.070 || Loss: 6.837635 | loc loss:5.734996 | class loss:1.102638
Epoch: 169/200 | Batch 402/402 | Batch time 0.091 || Loss: 6.017498 | loc loss:5.081789 | class loss:0.935708
Epoch: 170/200 | Batch 402/402 | Batch time 0.074 || Loss: 5.601207 | loc loss:4.288016 | class loss:1.313191
Epoch: 171/200 | Batch 402/402 | Batch time 0.079 || Loss: 4.153988 | loc loss:3.253683 | class loss:0.900305
Epoch: 172/200 | Batch 402/402 | Batch time 0.057 || Loss: 3.516448 | loc loss:2.353284 | class loss:1.163163
Epoch: 173/200 | Batch 402/402 | Batch time 0.056 || Loss: 4.257275 | loc loss:3.548394 | class loss:0.708880
Epoch: 174/200 | Batch 402/402 | Batch time 0.071 || Loss: 4.642143 | loc loss:3.604944 | class loss:1.037198
Epoch: 175/200 | Batch 402/402 | Batch time 0.077 || Loss: 4.528744 | loc loss:3.528363 | class loss:1.000381
Epoch: 176/200 | Batch 402/402 | Batch time 0.055 || Loss: 3.669131 | loc loss:2.545541 | class loss:1.123591
Epoch: 177/200 | Batch 402/402 | Batch time 0.052 || Loss: 5.310346 | loc loss:4.064476 | class loss:1.245870
Epoch: 178/200 | Batch 402/402 | Batch time 0.056 || Loss: 4.299197 | loc loss:3.319624 | class loss:0.979574
Epoch: 179/200 | Batch 402/402 | Batch time 0.080 || Loss: 4.890517 | loc loss:3.845787 | class loss:1.044730
Epoch: 180/200 | Batch 402/402 | Batch time 0.083 || Loss: 4.910713 | loc loss:3.934898 | class loss:0.975815
Epoch: 181/200 | Batch 402/402 | Batch time 0.053 || Loss: 5.195730 | loc loss:4.336607 | class loss:0.859123
Epoch: 182/200 | Batch 402/402 | Batch time 0.055 || Loss: 5.381951 | loc loss:4.088626 | class loss:1.293325
Epoch: 183/200 | Batch 402/402 | Batch time 0.080 || Loss: 5.220505 | loc loss:4.115777 | class loss:1.104728
Epoch: 184/200 | Batch 402/402 | Batch time 0.081 || Loss: 4.656072 | loc loss:3.617475 | class loss:1.038597
Epoch: 185/200 | Batch 402/402 | Batch time 0.085 || Loss: 4.104862 | loc loss:3.303155 | class loss:0.801707
Epoch: 186/200 | Batch 402/402 | Batch time 0.071 || Loss: 5.460158 | loc loss:4.433039 | class loss:1.027119
Epoch: 187/200 | Batch 402/402 | Batch time 0.082 || Loss: 4.711756 | loc loss:3.686710 | class loss:1.025046
Epoch: 188/200 | Batch 402/402 | Batch time 0.072 || Loss: 4.043455 | loc loss:2.942887 | class loss:1.100569
Epoch: 189/200 | Batch 402/402 | Batch time 0.075 || Loss: 4.300748 | loc loss:3.057940 | class loss:1.242808
Epoch: 190/200 | Batch 402/402 | Batch time 0.047 || Loss: 5.740993 | loc loss:4.670965 | class loss:1.070028
Epoch: 191/200 | Batch 402/402 | Batch time 0.073 || Loss: 4.089723 | loc loss:2.939065 | class loss:1.150658
Epoch: 192/200 | Batch 402/402 | Batch time 0.089 || Loss: 4.568881 | loc loss:3.486535 | class loss:1.082345
Epoch: 193/200 | Batch 402/402 | Batch time 0.094 || Loss: 3.796725 | loc loss:2.866258 | class loss:0.930467
Epoch: 194/200 | Batch 402/402 | Batch time 0.071 || Loss: 3.905124 | loc loss:2.873332 | class loss:1.031793
Epoch: 195/200 | Batch 402/402 | Batch time 0.083 || Loss: 3.029908 | loc loss:2.121546 | class loss:0.908362
Epoch: 196/200 | Batch 402/402 | Batch time 0.069 || Loss: 4.774346 | loc loss:3.933019 | class loss:0.841327
Epoch: 197/200 | Batch 402/402 | Batch time 0.081 || Loss: 5.298955 | loc loss:4.299270 | class loss:0.999685
Epoch: 198/200 | Batch 402/402 | Batch time 0.083 || Loss: 7.293654 | loc loss:5.929791 | class loss:1.363863
Epoch: 199/200 | Batch 402/402 | Batch time 0.077 || Loss: 3.561709 | loc loss:2.542714 | class loss:1.018995
Epoch: 200/200 | Batch 402/402 | Batch time 0.058 || Loss: 4.536716 | loc loss:3.520736 | class loss:1.015981
